,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,6.5
10,$r1,178
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1700
14,$v2,56
15,$r1,1.845
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,52
20,$r1,9.615
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,26
24,$v1,600
25,$v4,206.3
26,$r1,0.6
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,600
30,$v3,52
31,$v4,164
32,$r1,43.67
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,32
36,$v1,1800
37,$v4,192.8
38,$r1,0.61
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,71
42,$v2,0.6
43,$r1,89.42
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
