,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,1
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,3.1
10,$r1,0.0651
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,52
15,$r1,1.93
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,50
20,$r1,38
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,26
24,$v1,800
25,$v4,215.9
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,800
29,$v3,60
30,$v4,500.6
31,$r1,1
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,32
35,$v1,1600
36,$v4,297.1
37,$r1,3.4
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,50.4
41,$v2,1.09
42,$r1,2.16
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,1
46,wird größer,0
47,verringert sich,0
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
