,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,3.5
10,$r1,96.15
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,24
15,$r1,0.3
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,44
20,$r1,43.18
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,27
24,$v1,800
25,$v4,464.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1000
29,$v3,56
30,$v4,372.1
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,60
34,$v1,600
35,$v4,290.5
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,61.7
39,$v2,0.99
40,$r1,93.76
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
