,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,5.4
10,$r1,192
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,28
15,$r1,0.5226
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,60
20,$r1,15
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,34
24,$v1,900
25,$v4,484
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,700
29,$v3,48
30,$v4,272.6
31,$r1,600.52
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,54
35,$v1,1700
36,$v4,266.6
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,76.4
40,$v2,1.31
41,$r1,94
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
