,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,7.5
10,$r1,157.56
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,44
15,$r1,2.42
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1300
19,$v2,46
20,$r1,28.26
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,35
24,$v1,800
25,$v4,327.9
26,$r1,1
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,900
30,$v3,48
31,$v4,234.9
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,24
35,$v1,1100
36,$v4,425.4
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,87.5
40,$v2,1.56
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
