,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,6.3
10,$r1,225
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1200
14,$v2,52
15,$r1,2.25
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1700
19,$v2,50
20,$r1,34
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,45
24,$v1,900
25,$v4,180.7
26,$r1,0.7554
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1700
30,$v3,50
31,$v4,375.4
32,$r1,1125.6
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,44
36,$v1,1600
37,$v4,582
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,118.4
41,$v2,1.8
42,$r1,93.42
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,0
51,wird größer,0
52,bleibt gleich,1
53,,
