,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,7.1
10,$r1,7.888
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,46
15,$r1,2.645
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1400
19,$v2,26
20,$r1,53.846
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,47
24,$v1,1000
25,$v4,237.9
26,$r1,2.5308
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,28
31,$v4,379.5
32,$r1,1032.94
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,1100
37,$v4,175.3
38,$r1,1.7217
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,132
42,$v2,1.32
43,$r1,90.9
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
