,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.8
9,$v4,6.5
10,$r1,128.97
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1000
14,$v2,50
15,$r1,2.5
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,32
20,$r1,28.125
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,51
24,$v1,800
25,$v4,147.3
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1800
29,$v3,42
30,$v4,261
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,28
34,$v1,900
35,$v4,143.8
36,$r1,0.297
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,77.6
40,$v2,1.37
41,$r1,0.946
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,1
45,wird größer,0
46,verringert sich,0
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
