,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,6.1
10,$r1,0.2723
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,900
14,$v2,42
15,$r1,1.96
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,58
20,$r1,10.3448
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,27
24,$v1,800
25,$v4,286.1
26,$r1,0.2152
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1600
30,$v3,48
31,$v4,161.8
32,$r1,1306.4187
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,38
36,$v1,1800
37,$v4,267
38,$r1,
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,60.6
42,$v2,1.43
43,$r1,95.7622
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
