,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,6.3
10,$r1,187.5
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1200
14,$v2,38
15,$r1,1.2
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,32
20,$r1,18.75
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,29
24,$v1,900
25,$v4,257.3
26,$r1,0.404
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,2000
30,$v3,50
31,$v4,181.1
32,$r1,1551
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,52
36,$v1,700
37,$v4,432.6
38,$r1,0.157
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,53.7
42,$v2,1.91
43,$r1,97.2
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
