,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,7.8
10,$r1,309.52
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,26
15,$r1,0.965
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,24
20,$r1,37.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,47
24,$v1,300
25,$v4,100.3
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1800
29,$v3,50
30,$v4,212.6
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,40
34,$v1,1900
35,$v4,216.2
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,71.3
39,$v2,0.76
40,$r1,90.62
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
