,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.6
9,$v4,6.8
10,$r1,151.78
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1000
14,$v2,44
15,$r1,16.13
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,28
20,$r1,17.86
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,56
24,$v1,1100
25,$v4,159.7
26,$r1,0.123
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1400
30,$v3,30
31,$v4,299.9
32,$r1,3000
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,48
36,$v1,1500
37,$v4,252.1
38,$r1,0
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,101.1
42,$v2,1.53
43,$r1,6.2
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
