,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,4.3
10,$r1,126.73
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,52
15,$r1,1.802
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1800
19,$v2,34
20,$r1,52.941
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,35
24,$v1,600
25,$v4,264
26,$r1,
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,26
31,$v4,267.3
32,$r1,387.503
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1200
37,$v4,365.3
38,$r1,0.5963
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,91.7
42,$v2,0.66
43,$r1,86.106
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
