,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.5
9,$v4,3.8
10,$r1,271.43
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,42
15,$r1,0.72
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,30
20,$r1,63.33
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,58
24,$v1,400
25,$v4,453.5
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,800
29,$v3,24
30,$v4,574.1
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,30
34,$v1,1400
35,$v4,166.4
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,100.1
39,$v2,1.61
40,$r1,93.78
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
