,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,7.1
10,$r1,946.67
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,34
15,$r1,2
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1400
19,$v2,26
20,$r1,53.846
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,46
24,$v1,800
25,$v4,111.2
26,$r1,19.029
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1900
30,$v3,48
31,$v4,225.6
32,$r1,9379
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,54
36,$v1,900
37,$v4,367.3
38,$r1,0
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,117.7
42,$v2,0.55
43,$r1,21.4
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
