,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,4.6
10,$r1,156.4
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,48
15,$r1,1.77
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,38
20,$r1,13.16
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,31
24,$v1,700
25,$v4,238.8
26,$r1,0.455
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,500
30,$v3,24
31,$v4,187.4
32,$r1,500
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,54
36,$v1,1200
37,$v4,122
38,$r1,0.12
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,61.3
42,$v2,0.51
43,$r1,88
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
