,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,5
10,$r1,180
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1200
14,$v2,54
15,$r1,2.43
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,52
20,$r1,11.538
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,56
24,$v1,1100
25,$v4,317.2
26,$r1,1.796
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,900
30,$v3,56
31,$v4,509.1
32,$r1,562
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,24
36,$v1,600
37,$v4,587.2
38,$r1,0.562
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,138.3
42,$v2,1.02
43,$r1,0.135588
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
