,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,7.4
10,$r1,132.14
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,40
15,$r1,1.23
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1300
19,$v2,34
20,$r1,38.235
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,59
24,$v1,1000
25,$v4,224.9
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,900
29,$v3,40
30,$v4,491.3
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,26
34,$v1,1500
35,$v4,391.2
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,103.3
39,$v2,1.27
40,$r1,91.866
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
