,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,3.6
10,$r1,142.85
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,2000
14,$v2,54
15,$r1,1.458
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,44
20,$r1,13.63
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,28
24,$v1,1000
25,$v4,258.3
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1700
29,$v3,58
30,$v4,528.2
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,40
34,$v1,900
35,$v4,119.8
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,142.3
39,$v2,0.63
40,$r1,77.41
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
