,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,3.6
10,$r1,9.89e-05
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1200
14,$v2,56
15,$r1,2.61
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,24
20,$r1,29.166
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,32
24,$v1,400
25,$v4,270.2
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,800
29,$v3,44
30,$v4,559.9
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,42
34,$v1,1800
35,$v4,242.4
36,$r1,7.277
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,100.1
40,$v2,1.13
41,$r1,91.142
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
