,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,8
10,$r1,32.94
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,60
15,$r1,21.6
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,30
20,$r1,23.3
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,51
24,$v1,400
25,$v4,392.4
26,$r1,6.63
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1800
30,$v3,26
31,$v4,489.2
32,$r1,1.38
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,40
36,$v1,1100
37,$v4,112
38,$r1,14.29
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,61.5
42,$v2,0.74
43,$r1,12.03
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
