,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.6
9,$v4,7.4
10,$r1,440.47
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,44
15,$r1,1.21
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1400
19,$v2,56
20,$r1,25
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,39
24,$v1,900
25,$v4,180.2
26,$r1,893.2425
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1900
30,$v3,38
31,$v4,551.5
32,$r1,1901.309
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,48
36,$v1,2000
37,$v4,334
38,$r1,3.449
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,52.5
42,$v2,1.44
43,$r1,99.96
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
