,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,4.7
10,$r1,9.49
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,28
15,$r1,0.6
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,24
20,$r1,66.6
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,50
24,$v1,300
25,$v4,239.6
26,$r1,0.2913744
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1700
30,$v3,42
31,$v4,107.2
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,42
35,$v1,1400
36,$v4,234.8
37,$r1,0.52177777
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,139.7
41,$v2,1.08
42,$r1,88
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
