,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.5
9,$v4,7.5
10,$r1,133.92
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,600
14,$v2,38
15,$r1,2.406
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,24
20,$r1,37.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,59
24,$v1,900
25,$v4,299.7
26,$r1,2.904
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,800
30,$v3,30
31,$v4,145.5
32,$r1,791.27
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,36
36,$v1,1700
37,$v4,149.1
38,$r1,2.7
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,106.9
42,$v2,1.03
43,$r1,89.71
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
