,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,7
10,$r1,3001
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,44
15,$r1,1.38
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,38
20,$r1,18.42
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,54
24,$v1,1000
25,$v4,442.3
26,$r1,3.296
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1400
30,$v3,38
31,$v4,173.6
32,$r1,1047.418
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,54
36,$v1,900
37,$v4,317.9
38,$r1,4.586347
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,71.7
42,$v2,1.05
43,$r1,93.17
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
