,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.4
9,$v4,3.5
10,$r1,89.28
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,40
15,$r1,0.8421
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,2000
19,$v2,54
20,$r1,37.037
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,42
24,$v1,1000
25,$v4,147.1
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1000
29,$v3,30
30,$v4,216.9
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,54
34,$v1,900
35,$v4,422.3
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,75.5
39,$v2,0.78
40,$r1,90.32
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
