,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,5.5
10,$r1,115.546
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,28
15,$r1,0.713
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,56
20,$r1,8.929
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,43
24,$v1,1200
25,$v4,497.2
26,$r1,1.083
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1800
30,$v3,50
31,$v4,429
32,$r1,1112.595
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,24
36,$v1,600
37,$v4,268
38,$r1,0.1675
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,129.5
42,$v2,0.56
43,$r1,81.22
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
