,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,5.2
10,$r1,109.24
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,500
14,$v2,24
15,$r1,1.15
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,30
20,$r1,63.33
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,53
24,$v1,800
25,$v4,346.6
26,$r1,0.64
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1800
30,$v3,54
31,$v4,332.1
32,$r1,1276.6
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,1200
37,$v4,110.9
38,$r1,0.1
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,67.2
42,$v2,1.05
43,$r1,93.98
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
