,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,6.6
10,$r1,124.06
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,46
15,$r1,1.51
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,40
20,$r1,17.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,34
24,$v1,1000
25,$v4,195.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,500
29,$v3,30
30,$v4,322.7
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,32
34,$v1,1400
35,$v4,509.8
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,116.6
39,$v2,1.01
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
