,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,7.2
10,$r1,128.5
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,30
15,$r1,0.818
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1400
19,$v2,36
20,$r1,38.88
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,45
24,$v1,1100
25,$v4,129.8
26,$r1,8.9
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1000
30,$v3,46
31,$v4,303.7
32,$r1,4483.7
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,52
36,$v1,1600
37,$v4,153.3
38,$r1,19.2
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,108.7
42,$v2,0.92
43,$r1,11.8
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
