,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,0
4,,0
5,,1
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.5
9,$v4,4.7
10,$r1,107.16
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,32
15,$r1,0.6827
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,56
20,$r1,16.07
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,51
24,$v1,700
25,$v4,454.2
26,$r1,5.73
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1800
30,$v3,30
31,$v4,179.4
32,$r1,5016.72
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,500
37,$v4,280.5
38,$r1,10.395
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,77.8
42,$v2,0.99
43,$r1,7.86
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
