,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,5.2
10,$r1,1152
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,42
15,$r1,24.58
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1000
19,$v2,60
20,$r1,16.7777
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,60
24,$v1,500
25,$v4,474.5
26,$r1,0.434
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1400
30,$v3,34
31,$v4,484
32,$r1,1194
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1800
37,$v4,466.4
38,$r1,0.036
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,148.5
42,$v2,0.59
43,$r1,0.87
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
