,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,4.7
10,$r1,263.2
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,60
15,$r1,60
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,52
20,$r1,17.3077
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,45
24,$v1,1100
25,$v4,267.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1800
29,$v3,30
30,$v4,476.4
31,$r1,2700
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,34
35,$v1,2000
36,$v4,499.8
37,$r1,29.4
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,85.1
41,$v2,1.52
42,$r1,82.1387
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
