,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,7.8
10,$r1,232.143
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,60
15,$r1,2.57
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1700
19,$v2,36
20,$r1,47.2
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,55
24,$v1,700
25,$v4,470.4
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1300
29,$v3,42
30,$v4,513.2
31,$r1,740.24
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,24
35,$v1,1000
36,$v4,521.3
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,61.2
40,$v2,1.7
41,$r1,3.6
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
