,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,5.3
10,$r1,226.49
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,58
15,$r1,2.242
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,44
20,$r1,36.36
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,49
24,$v1,500
25,$v4,416.1
26,$r1,721.45
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,24
31,$v4,562.5
32,$r1,622.2
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1100
37,$v4,366.5
38,$r1,3713.09
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,52.7
42,$v2,1.32
43,$r1,96.16
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
