,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,1
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.4
9,$v4,6.5
10,$r1,82.91
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1200
14,$v2,26
15,$r1,0.56
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,52
20,$r1,17.31
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,42
24,$v1,600
25,$v4,277.2
26,$r1,543.43
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,52
31,$v4,259.3
32,$r1,606.02
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,52
36,$v1,1500
37,$v4,133.6
38,$r1,0.22
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,101.7
42,$v2,1.14
43,$r1,91.81
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
