,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,7.9
10,$r1,148.34
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,2000
14,$v2,54
15,$r1,1.458
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,60
20,$r1,11.67
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,50
24,$v1,1000
25,$v4,208.6
26,$r1,0.028
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,36
31,$v4,155.3
32,$r1,870.51
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,40
36,$v1,1800
37,$v4,504.1
38,$r1,2.0416
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,103.3
42,$v2,0.55
43,$r1,0.84
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
