,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.7
9,$v4,6.2
10,$r1,0.316
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,50
15,$r1,1.562
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,60
20,$r1,15
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,54
24,$v1,1200
25,$v4,135.3
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1200
29,$v3,56
30,$v4,272.1
31,$r1,
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,24
35,$v1,800
36,$v4,586.5
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,52.3
40,$v2,1.95
41,$r1,
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,1
45,wird größer,0
46,verringert sich,0
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
