,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,7.9
10,$r1,217.03
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,56
15,$r1,1.65
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1000
19,$v2,30
20,$r1,33.3
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,36
24,$v1,400
25,$v4,139.3
26,$r1,0.034
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,600
30,$v3,52
31,$v4,127.2
32,$r1,33.82
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,50
36,$v1,1800
37,$v4,233.3
38,$r1,0.604
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,144.8
42,$v2,1.59
43,$r1,90.89
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
