,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,7.8
10,$r1,139.29
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,50
15,$r1,1.6
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,54
20,$r1,29.63
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,26
24,$v1,300
25,$v4,164.3
26,$r1,0.0001458
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1200
30,$v3,60
31,$v4,275.8
32,$r1,220.64
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,36
36,$v1,1600
37,$v4,289.1
38,$r1,1.139
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,147.7
42,$v2,1.1
43,$r1,86.57
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
