,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.6
9,$v4,7.5
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,1100
13,$v2,30
14,,
15,Formelfrage,Wasserkocher d)
16,$v1,1500
17,$v2,44
18,,
19,Formelfrage,Wasserkocher e)
20,$v2,59
21,$v1,600
22,$v4,148
23,,
24,Formelfrage,Wasserkocher f)
25,$v1,1600
26,$v3,38
27,$v4,453
28,,
29,Formelfrage,Wasserkocher g)
30,$v3,24
31,$v1,1500
32,$v4,584.6
33,,
34,Formelfrage,Wasserkocher h)
35,$v1,87.5
36,$v2,1.17
37,$r1,
38,,
39,Single Choice,Wasserkocher i)
40,bleibt gleich,1
41,wird größer,0
42,verringert sich,0
43,,
44,Single Choice,Wasserkocher j)
45,verringert sich,1
46,wird größer,0
47,bleibt gleich,0
48,,
