,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,7.3
10,$r1,0.145
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,44
15,$r1,2.76
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1800
19,$v2,52
20,$r1,34.6
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,43
24,$v1,1200
25,$v4,151.9
26,$r1,8
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1500
30,$v3,46
31,$v4,401.9
32,$r1,8
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,600
37,$v4,452.3
38,$r1,8
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,125.1
42,$v2,0.81
43,$r1,84.5
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
