,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,6.2
10,$r1,659.68
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,600
14,$v2,32
15,$r1,0.05
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,2000
19,$v2,58
20,$r1,34.48
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,51
24,$v1,800
25,$v4,245.5
26,$r1,10.59
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1700
30,$v3,52
31,$v4,364.9
32,$r1,7410
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,32
36,$v1,1000
37,$v4,405.3
38,$r1,2.526
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,135.7
42,$v2,1.3
43,$r1,89.5
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
