,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,4.9
10,$r1,159.34
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,50
15,$r1,3.125
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1500
19,$v2,40
20,$r1,37.5
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,30
24,$v1,1000
25,$v4,356.4
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,600
29,$v3,46
30,$v4,443.9
31,$r1,479.406
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,52
35,$v1,800
36,$v4,361.6
37,$r1,30.769
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,109.8
41,$v2,1.39
42,$r1,92.7
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
