,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,1
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.5
9,$v4,6
10,$r1,230.6
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,900
14,$v2,58
15,$r1,200
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,26
20,$r1,0.42
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,55
24,$v1,900
25,$v4,104.6
26,$r1,1.35
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1300
30,$v3,44
31,$v4,320.7
32,$r1,1477
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,32
36,$v1,1400
37,$v4,230.1
38,$r1,0.8
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,87.5
42,$v2,1.62
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,1
47,verringert sich,0
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
