,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,3.6
10,$r1,3.96
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1400
14,$v2,28
15,$r1,0.411
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,32
20,$r1,59.375
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,56
24,$v1,500
25,$v4,134.1
26,$r1,201.34
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1900
30,$v3,54
31,$v4,555.7
32,$r1,54.007
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,2000
37,$v4,562.6
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,57.4
41,$v2,0.97
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,0
50,wird größer,1
51,bleibt gleich,0
52,,
