,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,6.1
10,$r1,114.66
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,42
15,$r1,1.176
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1800
19,$v2,30
20,$r1,60
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,59
24,$v1,800
25,$v4,425.8
26,$r1,0.646
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,30
31,$v4,509.7
32,$r1,1255
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,32
36,$v1,800
37,$v4,225.6
38,$r1,2.2695
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,140.2
42,$v2,1.75
43,$r1,92.59
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
