,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.6
9,$v4,5.6
10,$r1,125
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,900
14,$v2,52
15,$r1,3.004
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,26
20,$r1,26.9231
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,27
24,$v1,800
25,$v4,437.1
26,$r1,0.03257
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1800
30,$v3,44
31,$v4,596.6
32,$r1,853.31
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,800
37,$v4,404.8
38,$r1,0.1652
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,87.8
42,$v2,1.77
43,$r1,95.04
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
