,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,6.2
10,$r1,184.524
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1000
14,$v2,36
15,$r1,27.7
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,32
20,$r1,34.375
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,52
24,$v1,700
25,$v4,114.9
26,$r1,0.6584
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1700
30,$v3,26
31,$v4,288.1
32,$r1,1701.1732
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,38
36,$v1,900
37,$v4,315.1
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,58.8
41,$v2,1.82
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
