,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,5.1
10,$r1,587.29
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,2000
14,$v2,50
15,$r1,1.25
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,42
20,$r1,11.9
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,54
24,$v1,1000
25,$v4,427.5
26,$r1,0.7
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1300
30,$v3,46
31,$v4,201
32,$r1,1042.87
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1200
37,$v4,541.5
38,$r1,0.88
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,102.4
42,$v2,1.85
43,$r1,11
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,0
52,wird größer,0
53,bleibt gleich,1
54,,
