,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.7
9,$v4,5.8
10,$r1,295.92
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1800
14,$v2,46
15,$r1,1.17
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,48
20,$r1,33.33
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,46
24,$v1,400
25,$v4,371.1
26,$r1,0.3438
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1800
30,$v3,60
31,$v4,505.4
32,$r1,1195.69
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1600
37,$v4,410.9
38,$r1,0.994
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,80.4
42,$v2,1.72
43,$r1,95.32
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
