,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,6.4
10,$r1,280
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,46
15,$r1,1.924
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,34
20,$r1,23.529
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,59
24,$v1,900
25,$v4,426.7
26,$r1,0.73744
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,48
31,$v4,591.3
32,$r1,1095.89
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,26
36,$v1,1800
37,$v4,324
38,$r1,395.1
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,147.2
42,$v2,0.78
43,$r1,84.12
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
