,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.5
9,$v4,3.5
10,$r1,83.33
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,900
14,$v2,44
15,$r1,2.15
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1000
19,$v2,30
20,$r1,33.33
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,53
24,$v1,300
25,$v4,408.4
26,$r1,3
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,36
31,$v4,570.6
32,$r1,1135.6467
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1600
37,$v4,154.6
38,$r1,5.7
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,117.4
42,$v2,0.54
43,$r1,78.26
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
