,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,4.1
10,$r1,164.83
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,500
14,$v2,28
15,$r1,1.56
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,26
20,$r1,30.76
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,30
24,$v1,500
25,$v4,322.3
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1500
29,$v3,48
30,$v4,533.7
31,$r1,0.02
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,42
35,$v1,1600
36,$v4,596
37,$r1,0.73
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,139.6
41,$v2,1.06
42,$r1,86.83
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
