,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,5.8
10,$r1,207.1428571
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,48
15,$r1,2.88
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,700
19,$v2,60
20,$r1,11.66666667
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,57
24,$v1,900
25,$v4,361
26,$r1,4.5
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1300
30,$v3,38
31,$v4,380.9
32,$r1,1895.510633
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,54
36,$v1,2000
37,$v4,366.5
38,$r1,1.978171896
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,51.7
42,$v2,1.11
43,$r1,95.54962555
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
