,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,7.7
10,$r1,125
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,56
15,$r1,4.48
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,50
20,$r1,32
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,34
24,$v1,1000
25,$v4,328.6
26,$r1,3.518
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1700
30,$v3,24
31,$v4,240.8
32,$r1,1196
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,28
36,$v1,1900
37,$v4,359.6
38,$r1,1.09
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,50.7
42,$v2,1.04
43,$r1,95.1
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
