,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.9
9,$v4,6
10,$r1,60
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,60
15,$r1,2.24
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,900
19,$v2,44
20,$r1,20.45
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,24
24,$v1,1100
25,$v4,417.8
26,$r1,0.985
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,600
30,$v3,26
31,$v4,443.6
32,$r1,3047.79
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,800
37,$v4,458
38,$r1,14.689
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,87.3
42,$v2,1.03
43,$r1,91.52
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
