,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,3.4
10,$r1,101.19
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,700
14,$v2,58
15,$r1,4.8
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1300
19,$v2,34
20,$r1,38.23
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,37
24,$v1,700
25,$v4,306.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,600
29,$v3,60
30,$v4,476.4
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,32
34,$v1,1300
35,$v4,511.4
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,82.4
39,$v2,1.35
40,$r1,93.89
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
