,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,7
10,$r1,131.15789
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,600
14,$v2,44
15,$r1,3.2267
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1900
19,$v2,46
20,$r1,41.3
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,39
24,$v1,500
25,$v4,479.2
26,$r1,1.586
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1400
30,$v3,30
31,$v4,459.2
32,$r1,908.7
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,56
36,$v1,1100
37,$v4,491.4
38,$r1,6.38
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,118.7
42,$v2,1.92
43,$r1,94.18
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
