,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,4.9
10,$r1,0.0472462203
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1600
14,$v2,40
15,$r1,1
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,46
20,$r1,10.86956522
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,42
24,$v1,600
25,$v4,469.6
26,$r1,0.4083265306
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,40
31,$v4,493.6
32,$r1,1100
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,30
36,$v1,1300
37,$v4,214.1
38,$r1,0.8040644444
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,142.3
42,$v2,1.95
43,$r1,7.297435897
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,0
52,wird größer,1
53,bleibt gleich,0
54,,
