,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,1
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.4
9,$v4,6.1
10,$r1,
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,900
14,$v2,48
15,$r1,0.0533
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,28
20,$r1,39.29
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,48
24,$v1,900
25,$v4,433
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1100
29,$v3,40
30,$v4,380.6
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,28
34,$v1,1600
35,$v4,100.3
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,66.3
39,$v2,0.94
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,1
43,wird größer,0
44,verringert sich,0
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
