,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,5.3
10,$r1,189.29
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,2000
14,$v2,26
15,$r1,0.338
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1700
19,$v2,28
20,$r1,60.71
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,25
24,$v1,500
25,$v4,276.8
26,$r1,1
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1000
30,$v3,46
31,$v4,320
32,$r1,767.78
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,36
36,$v1,700
37,$v4,171.8
38,$r1,4.471
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,57.5
42,$v2,1.98
43,$r1,97.1
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
