,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1
9,$v4,3.1
10,$r1,110.7
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1700
14,$v2,44
15,$r1,1.138
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1600
19,$v2,42
20,$r1,38.09
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,38
24,$v1,500
25,$v4,262
26,$r1,0.409
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,900
30,$v3,36
31,$v4,574.2
32,$r1,1122.12
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1100
37,$v4,555.7
38,$r1,465.25
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,89.1
42,$v2,1.16
43,$r1,92.86
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
