,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,6.3
10,$r1,118.42
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,42
15,$r1,1.36
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,54
20,$r1,14.81
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,26
24,$v1,500
25,$v4,378.7
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,900
29,$v3,40
30,$v4,177.5
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,56
34,$v1,1800
35,$v4,446.1
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,65.5
39,$v2,1.76
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
